name;	latitude;longitude
Wallops Flight Facility, Delmarva Peninsula, Virginia;37.84621°N; 75.47938°W
White Sands Missile Range;32.56460°N; 106.35908°W
Nevada Test and Training Range (formerly Nellis Air Force Range);36.77150°N; 116.11374°W
Cape Canaveral Air Force Station, Florida;28.46675°N; 80.55852°W
Vandenberg Air Force Base, California;34.77204°N; 120.60124°W
Kennedy Space Center, Florida;28.6082°N; 80.6040°W
Pacific Missile Range Facility, Hawaii;22.02278°N; 159.785°W
Keweenaw, Michigan;47.42980°N; 87.71443°W
Kodiak Launch Complex, Alaska;57.43533°N; 152.33931°W
Mojave Air and Space Port, California;35.05910°N; 118.14880°W
Spaceport America(formerly Southwest Regional Spaceport), Upham, New Mexico;32.88943°N; 106.99945°W
Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia;37.833378°N; 75.483284°W
